category,datetime,headline,id,image,related,source,summary,url
company,1776868931,Constellation Brands : CEO/CFO CommentaryPDF FY 2026,139852331,,STZ,Finnhub,"‌FISCAL & FOURTH QUARTER 2026 FINANCIAL RESULTS CEO & CFO COMMENTARY Use Of Non-GAAP Financial Measures, Conference Call Information, and Location of Defined Terms and Other...",https://finnhub.io/api/news?id=0d7bdab42060139f403f7cee64932b90a31dd0403d325480da65271813d316a3
company,1776868688,"Constellation Brands : Annual Report for Fiscal Year Ending February 28, 2026 (Form 10-K)",139852301,,STZ,Finnhub,MANAGEMENT'S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS INTRODUCTION We have elected to omit discussion on the earliest of the three years...,https://finnhub.io/api/news?id=ff3335a5dc086f873093558757045f15991f888aa942489ef33ae8da733e3887
