category,datetime,headline,id,image,related,source,summary,url
company,1780418100,Top S&P500 movers in Tuesday's session,140501252,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,EPAM,ChartMill,Uncover the latest developments among S&P500 stocks in today's session. Stay tuned to the S&P500 index's top gainers and losers on Tuesday.,https://finnhub.io/api/news?id=957bd0c7422ec605a7c79bdbe2db072b9589e4da0ea2c05f63816c1c2570a6a6
company,1780391551,Does EPAM (EPAM) Leaving the S&P 500 Recast Its Governance and Competitive Positioning?,140497866,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,EPAM,Yahoo,"In late May 2026, EPAM Systems was removed from multiple S&P 500-related indices and added to the S&P 600 Information Technology index after its shareholders approved an amendment allowing stockholders the right to call special meetings. This combination of index reclassification and governance change comes as several analysts voice caution on the IT services sector’s demand outlook amid artificial intelligence-driven shifts. Against this backdrop of EPAM’s move from the S&P 500 to the S&P...",https://finnhub.io/api/news?id=b13535f332833bb7f7bc2db6522159857c86a97748baa5a8c62ebab5f79ec5e6
